Survived,Pclass,Name,Sex,Age,SibSp,Fare,Embarked
0,3,"Shorney, Mr. Charles Joseph",male,19,0,8.05,Southampton
0,1,"Goldschmidt, Mr. George B",male,71,0,34.6542,Cherbourg
1,1,"Greenfield, Mr. William Bertram",male,23,0,63.3583,Cherbourg
1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,23,Southampton
0,2,"Kantor, Mr. Sinai",male,34,1,26,Southampton
0,3,"Petranec, Miss. Matilda",female,28,0,7.8958,Southampton
0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,16,0,7.8958,Southampton
0,1,"White, Mr. Richard Frasar",male,21,0,77.2875,Southampton
0,3,"Johansson, Mr. Gustaf Joel",male,33,0,8.6542,Southampton
0,3,"Gustafsson, Mr. Anders Vilhelm",male,37,2,7.925,Southampton
0,3,"Mionoff, Mr. Stoytcho",male,28,0,7.8958,Southampton
1,3,"Salkjelsvik, Miss. Anna Kristine",female,21,0,7.65,Southampton
1,3,"Moss, Mr. Albert Johan",male,22,0,7.775,Southampton
0,3,"Rekic, Mr. Tido",male,38,0,7.8958,Southampton
1,3,"Moran, Miss. Bertha",female,24,1,24.15,Queenstown
0,1,"Porter, Mr. Walter Chamberlain",male,47,0,52,Southampton
0,3,"Zabour, Miss. Hileni",female,14.5,1,14.4542,Cherbourg
0,3,"Barton, Mr. David John",male,22,0,8.05,Southampton
0,3,"Jussila, Miss. Katriina",female,20,1,9.825,Southampton
0,3,"Attalah, Miss. Malake",female,17,0,14.4583,Cherbourg
0,3,"Pekoniemi, Mr. Edvard",male,21,0,7.925,Southampton
0,3,"Connors, Mr. Patrick",male,70.5,0,7.75,Queenstown
0,2,"Turpin, Mr. William John Robert",male,29,1,21,Southampton
0,1,"Baxter, Mr. Quigg Edmond",male,24,0,247.5208,Cherbourg
0,3,"Andersson, Miss. Ellis Anna Maria",female,2,4,31.275,Southampton
0,2,"Hickman, Mr. Stanley George",male,21,2,73.5,Southampton
0,3,"Moore, Mr. Leonard Charles",male,54,0,8.05,Southampton
0,2,"Nasser, Mr. Nicholas",male,32.5,1,30.0708,Cherbourg
1,2,"Webber, Miss. Susan",female,32.5,0,13,Southampton
0,1,"White, Mr. Percival Wayland",male,54,0,77.2875,Southampton
1,3,"Nicola-Yarred, Master. Elias",male,12,1,11.2417,Cherbourg
0,3,"McMahon, Mr. Martin",male,65,0,7.75,Queenstown
1,3,"Madsen, Mr. Fridtjof Arne",male,24,0,7.1417,Southampton
1,3,"Peter, Miss. Anna",female,59,1,22.3583,Cherbourg
0,3,"Ekstrom, Mr. Johan",male,45,0,6.975,Southampton
0,3,"Draženovic, Mr. Jozef",male,33,0,7.8958,Cherbourg
0,3,"Coelho, Mr. Domingos Fernandeo",male,20,0,7.05,Southampton
0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,14.5,Southampton
1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,26,Southampton
0,2,"Sobey, Mr. Samuel James Hayden",male,25,0,13,Southampton
0,2,"Richard, Mr. Emile",male,23,0,15.0458,Cherbourg
1,1,"Newsom, Miss. Helen Monypeny",female,19,0,26.2833,Southampton
0,1,"Futrelle, Mr. Jacques Heath",male,37,1,53.1,Southampton
0,3,"Osen, Mr. Olaf Elon",male,16,0,9.2167,Southampton
0,1,"Giglio, Mr. Victor",male,24,0,79.2,Cherbourg
0,3,"Boulos, Mrs. Joseph (Sultana)",female,10,0,15.2458,Cherbourg
1,3,"Nysten, Miss. Anna Sofia",female,22,0,7.75,Southampton
1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,15.85,Southampton
0,3,"Burke, Mr. Jeremiah",male,19,0,6.75,Queenstown
0,2,"Andrew, Mr. Edgardo Samuel",male,18,0,11.5,Southampton
0,2,"Nicholls, Mr. Joseph Charles",male,19,1,36.75,Southampton
1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,7.7958,Southampton
0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,34.375,Southampton
0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,26,Southampton
0,2,"Byles, Rev. Thomas Roussel Davids",male,42,0,13,Southampton
0,2,"Bateman, Rev. Robert James",male,51,0,12.525,Southampton
1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,66.6,Southampton
0,3,"Meo, Mr. Alfonzo",male,55.5,0,8.05,Southampton
0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,14.5,Southampton
0,3,"Olsen, Mr. Ole Martin",male,11,0,7.3125,Southampton
0,1,"Williams, Mr. Charles Duane",male,51,0,61.3792,Cherbourg
1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,7.7333,Queenstown
0,3,"Corn, Mr. Harry",male,30,0,8.05,Southampton
0,3,"Smiljanic, Mr. Mile",male,12,0,8.6625,Southampton
0,3,"Sage, Master. Thomas Henry",male,56,8,69.55,Southampton
0,3,"Cribb, Mr. John Hatfield",male,44,0,16.1,Southampton
1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,15.75,Southampton
0,3,"Bengtsson, Mr. John Viktor",male,26,0,7.775,Southampton
0,3,"Calic, Mr. Jovo",male,17,0,8.6625,Southampton
0,3,"Panula, Master. Eino Viljami",male,1,4,39.6875,Southampton
1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,20.525,Southampton
1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,44,0,55,Southampton
0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,27.9,Southampton
0,1,"Baumann, Mr. John D",male,32,0,25.925,Southampton
0,3,"Ling, Mr. Lee",male,28,0,56.4958,Southampton
0,1,"Van der hoef, Mr. Wyckoff",male,61,0,33.5,Southampton
0,3,"Rice, Master. Arthur",male,4,4,29.125,Queenstown
1,3,"Johnson, Miss. Eleanor Ileen",female,1,1,11.1333,Southampton
0,3,"Sivola, Mr. Antti Wilhelm",male,21,0,7.925,Southampton
0,1,"Smith, Mr. James Clinch",male,56,0,30.6958,Cherbourg
0,3,"Klasen, Mr. Klas Albin",male,18,1,7.8542,Southampton
0,3,"Lefèbre, Master. Henry Forbes",male,29,3,25.4667,Southampton
0,1,"Isham, Miss. Ann Elizabeth",female,50,0,28.7125,Cherbourg
0,2,"Hale, Mr. Reginald",male,30,0,13,Southampton
0,3,"Leonard, Mr. Lionel",male,36,0,0,Southampton
0,3,"Sage, Miss. Constance Gladys",female,28,8,69.55,Southampton
0,2,"Pernot, Mr. Rene",male,27,0,15.05,Cherbourg
0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,31.3875,Southampton
1,2,"Becker, Master. Richard F",male,1,2,39,Southampton
1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,22.025,Southampton
0,1,"Rood, Mr. Hugh Roscoe",male,13,0,50,Southampton
1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,46,1,15.5,Queenstown
1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,26.55,Southampton
0,3,"Bourke, Mr. John",male,40,1,15.5,Queenstown
0,3,"Turcin, Mr. Stjepan",male,36,0,7.8958,Southampton
1,2,"Pinsky, Mrs. (Rosa)",female,32,0,13,Southampton
0,2,"Carbines, Mr. William",male,19,0,13,Southampton
1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,7.8542,Southampton
1,2,"Navratil, Master. Michel M",male,3,1,26,Southampton
1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,27.7208,Cherbourg
1,1,"Lurette, Miss. Elise",female,58,0,146.5208,Cherbourg
0,3,"Mernagh, Mr. Robert",male,46,0,7.75,Queenstown
0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,8.4042,Southampton
1,3,"Madigan, Miss. Margaret ""Maggie""",female,66,0,7.75,Queenstown
0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,13,Southampton
0,3,"Vande Walle, Mr. Nestor Cyriel",male,28,0,9.5,Southampton
0,3,"Sage, Mr. Frederick",male,37,8,69.55,Southampton
0,3,"Johanson, Mr. Jakob Alfred",male,34,0,6.4958,Southampton
0,3,"Youseff, Mr. Gerious",male,45.5,0,7.225,Cherbourg
1,3,"Cohen, Mr. Gurshon ""Gus""",male,18,0,8.05,Southampton
0,3,"Strom, Miss. Telma Matilda",female,2,0,10.4625,Southampton
0,3,"Backstrom, Mr. Karl Alfred",male,32,1,15.85,Southampton
1,3,"Albimona, Mr. Nassef Cassem",male,26,0,18.7875,Cherbourg
1,3,"Carr, Miss. Helen ""Ellen""",female,16,0,7.75,Queenstown
1,1,"Blank, Mr. Henry",male,40,0,31,Cherbourg
0,3,"Ali, Mr. Ahmed",male,24,0,7.05,Southampton
1,2,"Cameron, Miss. Clear Annie",female,35,0,21,Southampton
0,3,"Perkin, Mr. John Henry",male,22,0,7.25,Southampton
0,2,"Givard, Mr. Hans Kristensen",male,44,0,13,Southampton
0,3,"Kiernan, Mr. Philip",male,45,1,7.75,Queenstown
1,1,"Newell, Miss. Madeleine",female,31,1,113.275,Cherbourg
1,3,"Honkanen, Miss. Eliina",female,27,0,7.925,Southampton
0,2,"Jacobsohn, Mr. Sidney Samuel",male,42,1,27,Southampton
1,1,"Bazzani, Miss. Albina",female,32,0,76.2917,Cherbourg
0,2,"Harris, Mr. Walter",male,30,0,10.5,Southampton
1,3,"Sunderland, Mr. Victor Francis",male,16,0,8.05,Southampton
0,2,"Bracken, Mr. James H",male,27,0,13,Southampton
0,3,"Green, Mr. George Henry",male,51,0,8.05,Southampton
0,3,"Nenkoff, Mr. Christo",male,12,0,7.8958,Southampton
1,1,"Hoyt, Mr. Frederick Maxfield",male,38,1,90,Southampton
0,3,"Berglund, Mr. Karl Ivar Sven",male,22,0,9.35,Southampton
1,2,"Mellors, Mr. William John",male,19,0,10.5,Southampton
0,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,7.25,Southampton
0,2,"Fahlstrom, Mr. Arne Jonas",male,18,0,13,Southampton
0,3,"Lefebre, Miss. Mathilde",female,44,3,25.4667,Southampton
1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,83.475,Southampton
0,3,"Larsson, Mr. Bengt Edvin",male,29,0,7.775,Southampton
0,2,"Sjostedt, Mr. Ernst Adolf",male,59,0,13.5,Southampton
1,3,"Asplund, Miss. Lillian Gertrud",female,5,4,31.3875,Southampton
0,2,"Leyson, Mr. Robert William Norman",male,24,0,10.5,Southampton
0,3,"Harknett, Miss. Alice Phoebe",female,19,0,7.55,Southampton
0,2,"Hold, Mr. Stephen",male,44,1,26,Southampton
1,2,"Collyer, Miss. Marjorie ""Lottie""",female,8,0,26.25,Southampton
0,2,"Pengelly, Mr. Frederick William",male,19,0,10.5,Southampton
0,2,"Hunt, Mr. George Henry",male,33,0,12.275,Southampton
0,3,"Zabour, Miss. Thamine",female,33,1,14.4542,Cherbourg
1,3,"Murphy, Miss. Katherine ""Kate""",female,22,1,15.5,Queenstown
0,2,"Coleridge, Mr. Reginald Charles",male,29,0,10.5,Southampton
0,3,"Maenpaa, Mr. Matti Alexanteri",male,22,0,7.125,Southampton
0,3,"Attalah, Mr. Sleiman",male,30,0,7.225,Cherbourg
0,1,"Minahan, Dr. William Edward",male,44,2,90,Queenstown
0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,7.775,Southampton
1,2,"Hamalainen, Mrs. William (Anna)",female,24,0,14.5,Southampton
1,1,"Beckwith, Mr. Richard Leonard",male,37,1,52.5542,Southampton
0,2,"Carter, Rev. Ernest Courtenay",male,54,1,26,Southampton
0,3,"Reed, Mr. James George",male,54,0,7.25,Southampton
0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,10.4625,Southampton
0,1,"Stead, Mr. William Thomas",male,62,0,26.55,Southampton
0,3,"Lobb, Mr. William Arthur",male,30,1,16.1,Southampton
0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,20.2125,Southampton
1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,15.2458,Cherbourg
1,1,"Thorne, Mrs. Gertrude Maybelle",female,66,0,79.2,Cherbourg
1,1,"Cherry, Miss. Gladys",female,30,0,86.5,Southampton
1,1,"Ward, Miss. Anna",female,35,0,512.3292,Cherbourg
1,2,"Parrish, Mrs. (Lutie Davis)",female,50,0,26,Southampton
0,3,"Smith, Mr. Thomas",male,23,0,7.75,Queenstown
1,3,"Asplund, Master. Edvin Rojj Felix",male,3,4,31.3875,Southampton
0,1,"Taussig, Mr. Emil",male,52,1,79.65,Southampton
0,1,"Harrison, Mr. William",male,40,0,0,Southampton
0,3,"Henry, Miss. Delia",female,48,0,7.75,Queenstown
0,2,"Reeves, Mr. David",male,36,0,10.5,Southampton
0,3,"Panula, Mr. Ernesti Arvid",male,16,4,39.6875,Southampton
1,3,"Persson, Mr. Ernst Ulrik",male,25,1,7.775,Southampton
1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,153.4625,Southampton
1,1,"Bissette, Miss. Amelia",female,35,0,135.6333,Southampton
0,1,"Cairns, Mr. Alexander",male,18,0,31,Southampton
1,3,"Tornquist, Mr. William Henry",male,25,0,0,Southampton
1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,0,19.5,Southampton
0,1,"Natsch, Mr. Charles H",male,37,0,29.7,Cherbourg
1,3,"Healy, Miss. Hanora ""Nora""",female,55,0,7.75,Queenstown
1,1,"Andrews, Miss. Kornelia Theodosia",female,63,1,77.9583,Southampton
0,3,"Lindblom, Miss. Augusta Charlotta",female,45,0,7.75,Southampton
0,2,"Parkes, Mr. Francis ""Frank""",male,44,0,0,Southampton
0,3,"Rice, Master. Eric",male,7,4,29.125,Queenstown
1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,1,20.25,Southampton
0,3,"Duane, Mr. Frank",male,65,0,7.75,Queenstown
0,3,"Olsson, Mr. Nils Johan Goransson",male,28,0,7.8542,Southampton
0,3,"de Pelsmaeker, Mr. Alfons",male,16,0,9.5,Southampton
1,3,"Dorking, Mr. Edward Arthur",male,19,0,8.05,Southampton
0,1,"Smith, Mr. Richard William",male,67,0,26,Southampton
0,3,"Stankovic, Mr. Ivan",male,33,0,8.6625,Cherbourg
1,3,"de Mulder, Mr. Theodore",male,30,0,9.5,Southampton
0,3,"Naidenoff, Mr. Penko",male,22,0,7.8958,Southampton
1,2,"Hosono, Mr. Masabumi",male,42,0,13,Southampton
1,3,"Connolly, Miss. Kate",female,22,0,7.75,Queenstown
1,1,"Barber, Miss. Ellen ""Nellie""",female,26,0,78.85,Southampton
1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,91.0792,Cherbourg
0,2,"Levy, Mr. Rene Jacques",male,36,0,12.875,Cherbourg
0,3,"Haas, Miss. Aloisia",female,24,0,8.85,Southampton
0,3,"Mineff, Mr. Ivan",male,24,0,7.8958,Southampton
0,1,"Lewy, Mr. Ervin G",male,23,0,27.7208,Cherbourg
0,3,"Hanna, Mr. Mansour",male,23.5,0,7.2292,Cherbourg
0,1,"Allison, Miss. Helen Loraine",female,2,1,151.55,Southampton
1,1,"Saalfeld, Mr. Adolphe",male,22,0,30.5,Southampton
1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,247.5208,Cherbourg
1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,12,0,7.75,Queenstown
1,3,"McCoy, Mr. Bernard",male,17,2,23.25,Queenstown
0,3,"Johnson, Mr. William Cahoone Jr",male,19,0,0,Southampton
1,2,"Keane, Miss. Nora A",female,34,0,12.35,Queenstown
0,3,"Williams, Mr. Howard Hugh ""Harry""",male,28,0,8.05,Southampton
1,1,"Allison, Master. Hudson Trevor",male,20,1,151.55,Southampton
1,1,"Fleming, Miss. Margaret",female,55,0,110.8833,Cherbourg
1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,108.9,Cherbourg
0,2,"Abelson, Mr. Samuel",male,30,1,24,Cherbourg
1,1,"Francatelli, Miss. Laura Mabel",female,30,0,56.9292,Cherbourg
,1,"Hays, Miss. Margaret Bechstein",female,24,0,83.1583,Cherbourg
1,1,"Ryerson, Miss. Emily Borie",female,18,2,262.375,Cherbourg
0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,1,26,Southampton
,3,"Hendekovic, Mr. Ignjac",male,28,0,7.8958,Southampton
0,2,"Hart, Mr. Benjamin",male,43,1,26.25,Southampton
1,3,"Nilsson, Miss. Helmina Josefina",female,26,0,7.8542,Southampton
1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24,1,26,Southampton
0,2,"Moraweck, Dr. Ernest",male,54,0,14,Southampton
1,1,"Wick, Miss. Mary Natalie",female,31,0,164.8667,Southampton
1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,134.5,Cherbourg
0,3,"Dennis, Mr. Samuel",male,22,0,7.25,Southampton
0,3,"Danoff, Mr. Yoto",male,27,0,7.8958,Southampton
1,2,"Slayter, Miss. Hilda Mary",female,30,0,12.35,Queenstown
1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22,1,29,Southampton
0,3,"Sage, Mr. George John Jr",male,17,8,69.55,Southampton
1,1,"Young, Miss. Marie Grice",female,36,0,135.6333,Cherbourg
0,3,"Nysveen, Mr. Johan Hansen",male,61,0,6.2375,Southampton
1,2,"Ball, Mrs. (Ada E Hall)",female,36,0,13,Southampton
1,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31,1,20.525,Southampton
1,1,"Hippach, Miss. Jean Gertrude",female,16,0,57.9792,Cherbourg
1,3,"McCoy, Miss. Agnes",female,44,2,23.25,Queenstown
0,1,"Partner, Mr. Austen",male,45.5,0,28.5,Southampton
0,1,"Graham, Mr. George Edward",male,38,0,153.4625,Southampton
0,3,"Vander Planke, Mr. Leo Edmondus",male,16,2,18,Southampton
1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,42,1,133.65,Southampton
0,3,"Denkoff, Mr. Mitto",male,40,0,7.8958,Southampton
0,1,"Pears, Mr. Thomas Clinton",male,29,1,66.6,Southampton
1,1,"Burns, Miss. Elizabeth Margaret",female,41,0,134.5,Cherbourg
1,3,"Dahl, Mr. Karl Edwart",male,45,0,8.05,Southampton
0,1,"Blackwell, Mr. Stephen Weart",male,45,0,35.5,Southampton
1,2,"Navratil, Master. Edmond Roger",male,2,1,26,Southampton
1,1,"Fortune, Miss. Alice Elizabeth",female,24,3,263,Southampton
0,2,"Collander, Mr. Erik Gustaf",male,28,0,13,Southampton
0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25,0,13,Southampton
0,2,"Fox, Mr. Stanley Hubert",male,36,0,13,Southampton
1,2,"Brown, Miss. Amelia ""Mildred""",female,24,0,13,Southampton
1,2,"Smith, Miss. Marion Elsie",female,40,0,13,Southampton
1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,20,1,16.1,Southampton
1,3,"Coutts, Master. William Loch ""William""",male,3,1,15.9,Southampton
0,3,"Dimic, Mr. Jovan",male,42,0,8.6625,Southampton
0,3,"Odahl, Mr. Nils Martin",male,23,0,9.225,Southampton
0,1,"Williams-Lambert, Mr. Fletcher Fellows",male,30,0,35,Southampton
0,3,"Elias, Mr. Tannous",male,15,1,7.2292,Cherbourg
0,3,"Arnold-Franchi, Mr. Josef",male,25,1,17.8,Southampton
0,3,"Yousif, Mr. Wazli",male,30,0,7.225,Cherbourg
0,3,"Vanden Steen, Mr. Leo Peter",male,28,0,9.5,Southampton
1,1,"Bowerman, Miss. Elsie Edith",female,22,0,55,Southampton
0,2,"Funk, Miss. Annie Clemmer",female,38,0,13,Southampton
1,3,"McGovern, Miss. Mary",female,45,0,7.8792,Queenstown
1,3,"Mockler, Miss. Helen Mary ""Ellie""",female,67,0,7.8792,Queenstown
0,3,"Skoog, Mr. Wilhelm",male,40,1,27.9,Southampton
0,2,"del Carlo, Mr. Sebastiano",male,29,1,27.7208,Cherbourg
0,3,"Barbara, Mrs. (Catherine David)",female,45,0,14.4542,Cherbourg
